Order ID,Order Date,Customer ID,Customer Name,Segment,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-00382,2022-01-18,CUST-1035,Debra Davidson,Corporate,West,Office Supplies,Fasteners,Push Pins Pack,6590.55,11,0.2,-374.28
ORD-00594,2022-01-18,CUST-1064,Donald Wright,Corporate,West,Technology,Accessories,Webcam HD,1480.97,1,0.15,-133.27
ORD-01158,2022-01-18,CUST-1077,Angela Lopez,Corporate,Central,Technology,Copiers,Desktop Copier,714152.22,12,0,42710.15
ORD-01595,2022-01-18,CUST-1007,Abigail Shaffer,Consumer,Central,Furniture,Bookcases,5-Shelf Bookcase,112280.56,9,0,23970.25
ORD-01627,2022-01-18,CUST-1151,David Wright,Consumer,North,Furniture,Chairs,Mesh Task Chair,96009.14,9,0.2,10158.93
ORD-01990,2022-01-18,CUST-1222,Jeremy Dalton,Home Office,West,Furniture,Furnishings,Office Partition,42373.18,9,0,11614.44
ORD-00006,2022-01-20,CUST-1235,Michael Lyons,Consumer,Central,Office Supplies,Paper,A4 Paper Ream,16810.68,9,0,5274.87
ORD-00010,2022-01-20,CUST-1058,Richard Aguirre,Corporate,North,Office Supplies,Storage,Plastic Drawer Unit,313.23,1,0,19.59
ORD-00267,2022-01-20,CUST-1155,Brenda Hall,Corporate,West,Office Supplies,Paper,Printer Paper Bulk,2624.25,9,0,533.97
ORD-00332,2022-01-20,CUST-1135,Rebecca Jackson,Home Office,South,Technology,Phones,Smartphone Pro Max,227886.72,11,0,43974.53
ORD-00950,2022-01-20,CUST-1298,William Barrett,Corporate,West,Furniture,Furnishings,Office Partition,36158.38,4,0,4538.76
ORD-00771,2022-01-21,CUST-1092,Brian Rodriguez,Home Office,Central,Office Supplies,Binders,Ring Binder Set,7414.38,6,0,723.02
ORD-01656,2022-01-21,CUST-1155,Brenda Hall,Corporate,North,Office Supplies,Envelopes,Mailing Envelopes Pack,311.77,1,0.15,59.83
ORD-01106,2022-01-22,CUST-1066,Amber Kidd,Consumer,Central,Office Supplies,Binders,View Binder,4511.9,8,0.2,375.66
ORD-00141,2022-01-24,CUST-1134,Daniel Kennedy,Corporate,East,Office Supplies,Art,Marker Set,9049.97,11,0.1,1296.1
ORD-00208,2022-01-24,CUST-1084,Paul Jones,Consumer,West,Technology,Machines,All-in-One Printer,281598.61,6,0,79250.04
ORD-00622,2022-01-25,CUST-1242,Matthew Moon,Consumer,Central,Furniture,Furnishings,Desk Lamp,43953.48,4,0.3,-952.35
ORD-01087,2022-01-26,CUST-1111,Richard Rodriguez,Corporate,South,Technology,Accessories,Webcam HD,238119.84,12,0,77685.57
ORD-01604,2022-01-26,CUST-1014,Michele Williams,Consumer,West,Furniture,Furnishings,Desk Lamp,45652.84,4,0,3563.54
ORD-00287,2022-01-27,CUST-1268,Colin Terry,Corporate,North,Furniture,Furnishings,Desk Lamp,10218.69,1,0,3526.06
ORD-01056,2022-01-28,CUST-1175,Nicole Herring,Home Office,Central,Furniture,Tables,Dining Table,144807.53,11,0,9680.37
ORD-01443,2022-01-29,CUST-1257,Susan Murray MD,Corporate,North,Technology,Copiers,Office Copier Machine,381307.13,7,0,62896.39
ORD-00451,2022-01-30,CUST-1089,Lisa Archer,Home Office,North,Technology,Phones,Smartphone Pro Max,355852.37,10,0,29981.95
ORD-00758,2022-01-30,CUST-1190,Jessica Gross,Home Office,East,Furniture,Bookcases,Corner Bookcase,111386.22,9,0.3,-9055.99
ORD-00358,2022-01-31,CUST-1086,Daniel Baker,Corporate,East,Office Supplies,Paper,Sticky Notes Pack,6285.12,4,0.3,377.26
ORD-01479,2022-01-31,CUST-1037,Sherri Baker,Consumer,Central,Office Supplies,Supplies,Scissors,1886.44,3,0.05,299.71
ORD-01690,2022-01-31,CUST-1197,Daniel Salinas,Consumer,South,Office Supplies,Fasteners,Push Pins Pack,1393.92,2,0,314.73
ORD-01728,2022-01-31,CUST-1243,Kevin Walters,Home Office,South,Office Supplies,Storage,Plastic Drawer Unit,16364.74,10,0,3226.5
ORD-01867,2022-01-31,CUST-1249,Jose Travis,Consumer,Central,Furniture,Furnishings,Desk Lamp,9419.52,1,0.2,-242.8
ORD-01391,2022-02-01,CUST-1271,Jasmin Alvarado,Consumer,South,Office Supplies,Envelopes,Mailing Envelopes Pack,10310.89,8,0,1641.75
ORD-01426,2022-02-01,CUST-1017,Holly Wood,Consumer,Central,Furniture,Furnishings,Office Partition,5664.46,1,0.2,308.92
ORD-00149,2022-02-02,CUST-1124,Michelle Harmon,Consumer,South,Furniture,Chairs,Executive Office Chair,73343.05,8,0,12518.16
ORD-00166,2022-02-02,CUST-1107,Sharon Cherry,Consumer,Central,Furniture,Furnishings,Desk Lamp,14277.64,5,0.2,642.47
ORD-00592,2022-02-02,CUST-1069,James Brown,Consumer,North,Office Supplies,Supplies,Scissors,1792.63,1,0.3,-58.62
ORD-01286,2022-02-02,CUST-1137,Robert Potter,Corporate,South,Office Supplies,Paper,Sticky Notes Pack,1848.27,2,0,478.38
ORD-01717,2022-02-02,CUST-1017,Holly Wood,Consumer,Central,Furniture,Furnishings,Office Partition,8593.66,2,0.2,965.86
ORD-01857,2022-02-03,CUST-1049,Joshua Blair,Corporate,West,Technology,Phones,Cordless Phone,50345.6,3,0.1,1331.72
ORD-01898,2022-02-03,CUST-1070,William Baker,Home Office,East,Technology,Phones,Smartphone Lite,354741.42,9,0,31840.17
ORD-02000,2022-02-04,CUST-1073,Brittney Phillips,Consumer,Central,Furniture,Chairs,Executive Office Chair,22201.51,2,0,5397.72
ORD-00797,2022-02-05,CUST-1291,David Smith,Consumer,East,Furniture,Tables,Study Table,3899.78,2,0.3,-688.29
ORD-01180,2022-02-05,CUST-1191,Debra Morton,Home Office,East,Technology,Phones,Cordless Phone,405027.49,8,0,92291.85
ORD-00278,2022-02-06,CUST-1053,Crystal Robinson,Consumer,West,Technology,Phones,Smartphone X200,115602.65,2,0.05,22955.03
ORD-00506,2022-02-06,CUST-1017,Holly Wood,Consumer,West,Furniture,Furnishings,Wall Clock,77200.06,6,0,16752.41
ORD-01518,2022-02-07,CUST-1157,Joshua Perry,Corporate,Central,Office Supplies,Supplies,Tape Dispenser,5565.05,10,0,1621.28
ORD-00557,2022-02-08,CUST-1217,Rodney Morales,Home Office,Central,Technology,Phones,Cordless Phone,314141.05,11,0.15,13842.03
ORD-00587,2022-02-08,CUST-1138,Courtney Gonzalez,Consumer,Central,Office Supplies,Paper,A4 Paper Ream,10306.14,9,0.3,-2736.97
ORD-00225,2022-02-09,CUST-1196,Allen Rosales,Consumer,East,Technology,Copiers,Office Copier Machine,234863.62,10,0.15,35168.33
ORD-01413,2022-02-09,CUST-1073,Brittney Phillips,Consumer,East,Technology,Copiers,Office Copier Machine,10875.71,1,0.2,989.0
ORD-01580,2022-02-10,CUST-1063,Connor West,Home Office,North,Office Supplies,Art,Whiteboard,2149.25,2,0.3,-433.47
ORD-01210,2022-02-11,CUST-1101,Sandra Aguilar,Home Office,West,Technology,Copiers,Office Copier Machine,14372.49,2,0,1709.2
ORD-00046,2022-02-12,CUST-1138,Courtney Gonzalez,Consumer,Central,Furniture,Tables,Dining Table,89521.99,9,0.2,3768.0
ORD-00796,2022-02-12,CUST-1091,Matthew Mcmillan,Home Office,East,Furniture,Tables,Conference Table,56060.83,10,0.05,9222.66
ORD-00799,2022-02-12,CUST-1076,Sarah Moore,Corporate,West,Furniture,Tables,Coffee Table,7584.94,8,0.2,-690.59
ORD-00070,2022-02-13,CUST-1026,Judy Baker,Consumer,East,Furniture,Tables,Study Table,25064.72,2,0.05,2912.27
ORD-00770,2022-02-14,CUST-1212,Denise Mccann,Home Office,North,Technology,Phones,Smartphone Lite,587574.87,11,0.3,52072.52
ORD-01946,2022-02-14,CUST-1158,Jason Stein,Home Office,West,Office Supplies,Storage,File Organizer,1941.98,1,0.2,-113.93
ORD-00512,2022-02-15,CUST-1163,Lindsey Walker,Home Office,West,Office Supplies,Envelopes,Padded Envelopes,13879.11,10,0.05,1396.96
ORD-01349,2022-02-15,CUST-1033,Tricia Valencia,Corporate,North,Technology,Phones,Smartphone Lite,90948.62,2,0.15,2299.54
ORD-00933,2022-02-16,CUST-1167,Alyssa Long,Corporate,Central,Furniture,Tables,Dining Table,20009.15,11,0.2,-1141.93
ORD-01183,2022-02-16,CUST-1014,Michele Williams,Consumer,East,Technology,Accessories,Wireless Mouse,108880.54,3,0.15,-14936.63
ORD-01609,2022-02-16,CUST-1107,Sharon Cherry,Consumer,South,Technology,Machines,Label Maker,16187.67,2,0.3,-149.4
ORD-00345,2022-02-17,CUST-1065,Jessica Callahan,Home Office,South,Office Supplies,Fasteners,Push Pins Pack,9673.8,12,0,668.82
ORD-01055,2022-02-17,CUST-1066,Amber Kidd,Consumer,North,Furniture,Chairs,Mesh Task Chair,8651.45,6,0,2674.22
ORD-01131,2022-02-17,CUST-1278,Marie Christian,Corporate,East,Furniture,Furnishings,Wall Clock,49168.68,9,0.2,3941.11
ORD-00743,2022-02-18,CUST-1196,Allen Rosales,Consumer,West,Office Supplies,Binders,Clip Binder,5318.11,3,0,1786.06
ORD-01081,2022-02-19,CUST-1027,Justin Baker,Home Office,South,Technology,Phones,Smartphone X200,228051.89,4,0,45650.32
ORD-01610,2022-02-19,CUST-1069,James Brown,Consumer,East,Technology,Machines,Label Maker,16290.74,2,0,2376.83
ORD-01430,2022-02-20,CUST-1065,Jessica Callahan,Home Office,North,Technology,Phones,Smartphone X200,82627.75,6,0,8616.4
ORD-00985,2022-02-22,CUST-1279,Shannon James,Home Office,South,Furniture,Tables,Dining Table,4488.05,2,0.15,7.56
ORD-01341,2022-02-22,CUST-1133,Mary Marshall,Home Office,Central,Furniture,Furnishings,Wall Clock,44174.95,6,0.05,5955.6
ORD-00605,2022-02-23,CUST-1233,Christopher Parker,Corporate,Central,Technology,Accessories,Wireless Mouse,85767.95,2,0.05,24873.73
ORD-01831,2022-02-25,CUST-1078,Megan Young,Corporate,South,Furniture,Furnishings,Office Partition,13209.03,10,0.2,-127.32
ORD-00331,2022-02-26,CUST-1247,Krista Gibson,Home Office,North,Technology,Phones,Smartphone Pro Max,148025.07,11,0.15,6774.12
ORD-01873,2022-02-26,CUST-1049,Joshua Blair,Corporate,Central,Furniture,Chairs,Executive Office Chair,16849.51,4,0,1815.25
ORD-00740,2022-02-27,CUST-1123,April Frost,Corporate,East,Furniture,Chairs,Executive Office Chair,36632.42,4,0.05,7872.25
ORD-01547,2022-02-27,CUST-1136,Jose Schultz,Corporate,East,Technology,Phones,Smartphone Lite,532733.86,11,0.15,131433.77
ORD-00667,2022-03-01,CUST-1083,Michael Evans,Corporate,East,Technology,Machines,All-in-One Printer,344822.98,12,0,86082.61
ORD-01571,2022-03-01,CUST-1019,Lisa Jackson,Consumer,North,Furniture,Bookcases,Corner Bookcase,35491.49,4,0.15,-2893.37
ORD-01780,2022-03-01,CUST-1074,Lauren Daniels,Consumer,East,Furniture,Chairs,Recliner Chair,16752.92,6,0.15,688.71
ORD-00080,2022-03-04,CUST-1047,John Pierce,Corporate,Central,Furniture,Furnishings,Wall Clock,43543.93,8,0,13716.45
ORD-01548,2022-03-06,CUST-1084,Paul Jones,Consumer,West,Furniture,Furnishings,Desk Lamp,44121.8,7,0,13323.03
ORD-01651,2022-03-06,CUST-1008,Gina Moore,Consumer,South,Office Supplies,Fasteners,Push Pins Pack,2211.54,5,0.2,457.23
ORD-01711,2022-03-06,CUST-1217,Rodney Morales,Home Office,South,Technology,Machines,All-in-One Printer,491817.3,10,0,94436.02
ORD-01736,2022-03-06,CUST-1266,Joshua Reed,Corporate,North,Technology,Accessories,Webcam HD,108474.32,3,0,26617.93
ORD-00625,2022-03-07,CUST-1072,Whitney Peters,Corporate,South,Technology,Copiers,Office Copier Machine,16413.77,4,0.3,-3910.79
ORD-00964,2022-03-07,CUST-1259,Denise Davenport,Corporate,East,Office Supplies,Supplies,Glue Stick,1695.94,10,0,580.47
ORD-01331,2022-03-07,CUST-1030,Anthony Rodriguez,Home Office,East,Technology,Copiers,Office Copier Machine,40041.61,2,0,11553.25
ORD-00848,2022-03-08,CUST-1077,Angela Lopez,Corporate,West,Office Supplies,Paper,A4 Paper Ream,5072.17,4,0.2,443.52
ORD-01322,2022-03-08,CUST-1128,Jason Powell,Home Office,North,Furniture,Chairs,Recliner Chair,100593.79,7,0.3,-25887.1
ORD-01684,2022-03-08,CUST-1144,Christopher Rubio,Consumer,East,Office Supplies,Binders,View Binder,7660.38,4,0.05,663.07
ORD-00946,2022-03-09,CUST-1205,Erin Warner,Consumer,North,Technology,Phones,Cordless Phone,457581.2,9,0,156095.21
ORD-01500,2022-03-10,CUST-1128,Jason Powell,Home Office,South,Technology,Copiers,Office Copier Machine,38137.09,3,0.1,935.16
ORD-00672,2022-03-12,CUST-1164,Jeffrey Johnson,Home Office,East,Office Supplies,Paper,Sticky Notes Pack,5365.15,12,0.1,931.24
ORD-01078,2022-03-12,CUST-1145,Amber Wright,Consumer,East,Office Supplies,Binders,View Binder,1003.42,1,0,92.29
ORD-01037,2022-03-14,CUST-1289,Lisa Allen,Consumer,Central,Furniture,Chairs,Folding Chair,98494.57,10,0.3,10023.95
ORD-00048,2022-03-17,CUST-1233,Christopher Parker,Corporate,North,Technology,Machines,Label Maker,48858.5,2,0,12082.61
ORD-01764,2022-03-17,CUST-1038,Cassandra Gaines,Home Office,Central,Technology,Phones,Cordless Phone,30117.04,6,0,4405.77
ORD-00137,2022-03-18,CUST-1090,Aimee Montoya,Consumer,West,Furniture,Chairs,Folding Chair,25612.15,8,0.1,6712.85
ORD-01962,2022-03-18,CUST-1080,Lisa Barnes,Corporate,West,Office Supplies,Paper,Sticky Notes Pack,14125.03,10,0.3,-286.19
ORD-00262,2022-03-19,CUST-1274,Shelly Alexander,Corporate,South,Office Supplies,Labels,Label Roll,332.84,6,0,79.22
ORD-00445,2022-03-19,CUST-1200,Nathan Freeman,Consumer,East,Furniture,Bookcases,Corner Bookcase,5537.04,10,0.3,-1231.42
ORD-01271,2022-03-19,CUST-1170,Daniel Murphy,Corporate,North,Office Supplies,Art,Whiteboard,12952.5,9,0.1,1593.44
ORD-01284,2022-03-19,CUST-1045,Angelica Tucker,Consumer,East,Furniture,Furnishings,Wall Clock,10432.13,2,0.15,33.38
ORD-01036,2022-03-20,CUST-1074,Lauren Daniels,Consumer,North,Office Supplies,Art,Marker Set,5511.13,7,0,1692.47
ORD-01469,2022-03-21,CUST-1051,Jessica Holmes,Home Office,North,Technology,Phones,Smartphone Lite,271564.49,7,0.05,71956.64
ORD-01911,2022-03-21,CUST-1284,Shelia Wallace,Consumer,East,Technology,Phones,Smartphone Lite,38257.54,6,0.05,4882.57
ORD-00063,2022-03-22,CUST-1159,Melissa Gates,Consumer,West,Furniture,Bookcases,Modern Bookcase,5420.8,3,0,597.58
ORD-01048,2022-03-22,CUST-1070,William Baker,Home Office,West,Technology,Copiers,Office Copier Machine,105884.01,3,0.15,17634.87
ORD-01220,2022-03-22,CUST-1241,Andrew Avila,Home Office,North,Technology,Accessories,Mechanical Keyboard,258777.86,7,0.15,53931.33
ORD-01615,2022-03-22,CUST-1259,Denise Davenport,Corporate,South,Furniture,Tables,Dining Table,26865.93,6,0,2698.73
ORD-00011,2022-03-23,CUST-1184,Ashley Barton,Home Office,South,Office Supplies,Art,Whiteboard,3503.86,2,0,1148.32
ORD-01118,2022-03-23,CUST-1190,Jessica Gross,Home Office,East,Technology,Machines,Scanner,605566.64,11,0.15,74176.59
ORD-01512,2022-03-24,CUST-1300,Amber Obrien,Consumer,East,Technology,Copiers,Office Copier Machine,366910.25,12,0.05,51103.36
ORD-00454,2022-03-25,CUST-1069,James Brown,Consumer,North,Office Supplies,Envelopes,Mailing Envelopes Pack,34.3,1,0,8.99
ORD-00993,2022-03-25,CUST-1196,Allen Rosales,Consumer,East,Furniture,Furnishings,Wall Clock,29426.12,10,0.3,1769.92
ORD-01253,2022-03-25,CUST-1016,Brian Ramirez,Corporate,South,Technology,Accessories,Wireless Mouse,30979.75,1,0.2,-1308.85
ORD-00090,2022-03-26,CUST-1231,Jessica Stephens,Corporate,Central,Office Supplies,Art,Sketch Pad,1425.1,10,0,417.97
ORD-01439,2022-03-26,CUST-1067,Tracy House,Home Office,Central,Furniture,Furnishings,Wall Clock,6403.79,1,0,981.9
ORD-00084,2022-03-28,CUST-1224,Theresa Clark,Consumer,North,Technology,Phones,Cordless Phone,244440.46,10,0.1,7936.09
ORD-00393,2022-03-28,CUST-1126,Erin Edwards,Consumer,Central,Office Supplies,Envelopes,Mailing Envelopes Pack,17333.39,9,0.05,1602.5
ORD-00873,2022-03-28,CUST-1081,Kelly Donovan,Consumer,East,Technology,Phones,Smartphone Lite,165707.65,11,0,48701.27
ORD-01582,2022-03-29,CUST-1146,Joyce Solis,Home Office,East,Furniture,Tables,Coffee Table,43448.75,4,0.15,5888.98
ORD-01586,2022-03-29,CUST-1069,James Brown,Consumer,Central,Furniture,Furnishings,Wall Clock,21376.7,3,0.2,2543.81
ORD-00073,2022-03-30,CUST-1267,Kimberly Gibson,Consumer,East,Technology,Phones,Smartphone X200,205988.28,8,0.3,-21049.93
ORD-00458,2022-03-30,CUST-1028,Stephanie Ross,Home Office,East,Technology,Accessories,Webcam HD,241838.37,5,0,19667.83
ORD-00054,2022-03-31,CUST-1163,Lindsey Walker,Home Office,West,Office Supplies,Envelopes,Padded Envelopes,3532.85,11,0,310.45
ORD-00364,2022-03-31,CUST-1067,Tracy House,Home Office,South,Furniture,Tables,Conference Table,26227.53,8,0.2,1107.12
ORD-00632,2022-03-31,CUST-1123,April Frost,Corporate,South,Technology,Machines,Laser Printer,649960.95,12,0.2,89143.53
ORD-01033,2022-03-31,CUST-1292,Stephanie Byrd,Consumer,North,Furniture,Bookcases,Corner Bookcase,16730.1,3,0.2,-2097.18
ORD-01094,2022-04-01,CUST-1289,Lisa Allen,Consumer,West,Office Supplies,Supplies,Scissors,8889.47,12,0.15,364.52
ORD-00579,2022-04-02,CUST-1214,Katherine Salas,Home Office,West,Office Supplies,Fasteners,Push Pins Pack,7687.6,8,0,2141.65
ORD-00685,2022-04-02,CUST-1122,Kenneth Scott,Home Office,North,Furniture,Tables,Coffee Table,57530.53,4,0.15,-2942.51
ORD-00847,2022-04-02,CUST-1149,Kathy Rivas,Corporate,South,Office Supplies,Binders,Ring Binder Set,14372.21,10,0.15,2876.68
ORD-00067,2022-04-03,CUST-1020,Carla Gray,Consumer,East,Technology,Phones,Smartphone X200,33596.57,4,0.2,-642.29
ORD-01823,2022-04-03,CUST-1072,Whitney Peters,Corporate,West,Furniture,Tables,Coffee Table,13167.57,5,0.05,3925.85
ORD-00453,2022-04-04,CUST-1089,Lisa Archer,Home Office,East,Furniture,Chairs,Recliner Chair,34453.43,3,0,6256.69
ORD-00590,2022-04-04,CUST-1083,Michael Evans,Corporate,Central,Office Supplies,Paper,Sticky Notes Pack,593.02,2,0.1,143.75
ORD-00832,2022-04-04,CUST-1008,Gina Moore,Consumer,South,Furniture,Chairs,Executive Office Chair,20577.18,3,0.05,6542.33
ORD-01892,2022-04-04,CUST-1289,Lisa Allen,Consumer,Central,Office Supplies,Fasteners,Stapler,10555.65,12,0.05,-141.34
ORD-00196,2022-04-05,CUST-1051,Jessica Holmes,Home Office,West,Furniture,Chairs,Mesh Task Chair,56956.1,8,0,17920.91
ORD-00615,2022-04-05,CUST-1097,Aaron Wise,Consumer,Central,Technology,Accessories,USB-C Hub,191192.13,4,0.3,-11787.19
ORD-01238,2022-04-05,CUST-1266,Joshua Reed,Corporate,North,Furniture,Tables,Dining Table,14113.26,1,0,2908.42
ORD-00311,2022-04-06,CUST-1021,Margaret Hawkins DDS,Consumer,East,Furniture,Bookcases,Modern Bookcase,44450.78,5,0.2,-3159.48
ORD-01534,2022-04-06,CUST-1168,Alyssa Day,Consumer,South,Technology,Accessories,Mechanical Keyboard,505246.12,9,0,165453.68
ORD-01706,2022-04-06,CUST-1215,Julie Alexander,Consumer,North,Office Supplies,Storage,File Organizer,4610.83,8,0,1507.93
ORD-01551,2022-04-07,CUST-1001,Allison Hill,Home Office,South,Furniture,Bookcases,Modern Bookcase,80616.89,7,0.15,13376.09
ORD-01410,2022-04-08,CUST-1170,Daniel Murphy,Corporate,East,Furniture,Furnishings,Wall Clock,53589.87,5,0.15,1398.61
ORD-00234,2022-04-09,CUST-1198,Spencer Haynes,Corporate,West,Office Supplies,Envelopes,Mailing Envelopes Pack,7707.89,7,0,2301.9
ORD-00266,2022-04-09,CUST-1056,Michael Lewis,Home Office,North,Furniture,Chairs,Folding Chair,48109.44,8,0,5371.35
ORD-00982,2022-04-09,CUST-1102,Cameron Parker,Home Office,South,Furniture,Tables,Conference Table,11389.34,4,0.3,1150.09
ORD-01107,2022-04-10,CUST-1130,Megan Orr,Home Office,Central,Furniture,Furnishings,Desk Lamp,38033.18,8,0.15,-0.06
ORD-01165,2022-04-11,CUST-1017,Holly Wood,Consumer,East,Technology,Accessories,Webcam HD,192241.05,8,0.15,-2399.84
ORD-01843,2022-04-11,CUST-1102,Cameron Parker,Home Office,West,Office Supplies,Supplies,Scissors,11220.6,6,0,3064.31
ORD-00081,2022-04-12,CUST-1042,Fred Smith,Consumer,East,Technology,Copiers,Office Copier Machine,166080.61,10,0,25501.99
ORD-00353,2022-04-12,CUST-1274,Shelly Alexander,Corporate,North,Furniture,Chairs,Recliner Chair,11565.34,5,0,1101.08
ORD-01644,2022-04-12,CUST-1042,Fred Smith,Consumer,North,Technology,Phones,Smartphone X200,224904.68,4,0.05,5080.24
ORD-01752,2022-04-12,CUST-1239,Sara Johnston,Consumer,West,Furniture,Chairs,Recliner Chair,119459.01,12,0.1,19462.79
ORD-01983,2022-04-12,CUST-1045,Angelica Tucker,Consumer,East,Office Supplies,Envelopes,Mailing Envelopes Pack,9216.4,6,0.1,444.39
ORD-01502,2022-04-13,CUST-1079,Steve Sanchez,Home Office,North,Office Supplies,Supplies,Glue Stick,9936.12,5,0.1,303.03
ORD-00416,2022-04-14,CUST-1055,Shannon Jones,Corporate,West,Furniture,Chairs,Folding Chair,21666.77,7,0.3,-191.48
ORD-01438,2022-04-14,CUST-1142,David Douglas Jr.,Consumer,South,Furniture,Tables,Study Table,82369.76,12,0,10140.52
ORD-00009,2022-04-15,CUST-1048,Shane Henderson,Consumer,West,Technology,Phones,Smartphone X200,230014.01,6,0.3,-14445.33
ORD-00949,2022-04-15,CUST-1164,Jeffrey Johnson,Home Office,North,Furniture,Furnishings,Desk Lamp,13672.8,8,0.05,2590.86
ORD-01646,2022-04-15,CUST-1260,Mrs. Kristen Reyes,Consumer,East,Furniture,Bookcases,Modern Bookcase,99291.17,8,0,23691.46
ORD-01574,2022-04-16,CUST-1092,Brian Rodriguez,Home Office,South,Furniture,Furnishings,Office Partition,72100.31,10,0,21341.73
ORD-01734,2022-04-17,CUST-1053,Crystal Robinson,Consumer,West,Office Supplies,Fasteners,Push Pins Pack,15780.2,12,0,2344.47
ORD-01759,2022-04-17,CUST-1255,Cynthia Moore,Home Office,West,Technology,Accessories,Mechanical Keyboard,116499.38,2,0.2,-16225.04
ORD-00092,2022-04-18,CUST-1172,Darlene Miller,Corporate,North,Technology,Phones,Smartphone Pro Max,255692.53,5,0,38356.08
ORD-00212,2022-04-18,CUST-1092,Brian Rodriguez,Home Office,South,Office Supplies,Binders,Clip Binder,3103.17,2,0.1,133.07
ORD-00793,2022-04-19,CUST-1019,Lisa Jackson,Consumer,Central,Technology,Accessories,Wireless Mouse,124379.65,9,0.2,5884.6
